Date,Close
2022-08-01,2487.370254794789
2022-08-02,2475.155194768504
2022-08-03,2481.5680048355434
2022-08-04,2439.218657106278
2022-08-05,2436.602832789914
2022-08-08,2460.959523357605
2022-08-09,2441.301157445765
2022-08-10,2483.2505731555707
2022-08-11,2480.1328829401145
2022-08-12,2522.304167091893
2022-08-15,2536.0217501938696
2022-08-16,2601.219224205659
2022-08-17,2609.601033201513
2022-08-18,2582.7555538560696
2022-08-19,2540.093550584651
2022-08-22,2492.864041928605
2022-08-23,2481.984515440943
2022-08-24,2483.0019976350086
2022-08-25,2514.907929986004
2022-08-26,2447.4898190075555
2022-08-29,2436.837982657478
2022-08-30,2415.0233008462865
2022-08-31,2422.034556324247
2022-09-01,2443.226405993376
2022-09-02,2424.142690830161
2022-09-06,2391.2136127650833
2022-09-07,2451.0848693537473
2022-09-08,2454.670345113289
2022-09-09,2484.00591346579
2022-09-12,2491.3706903594953
2022-09-13,2424.596626735547
2022-09-14,2408.185800126921
2022-09-15,2386.335594082607
2022-09-16,2374.46620577227
2022-09-19,2386.192042304803
